97339 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97344 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97330,Camopi,Guyane,Guyane,3.165500,-52.315701
97370,Maripasoula,Guyane,Guyane,3.642200,-54.012001
97318,Mana,Guyane,Guyane,5.659200,-53.776699
97332 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97356,Montsinéry-Tonnegrande,Guyane,Guyane,4.900000,-52.500000
97375 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97380,Ouanary,Guyane,Guyane,4.202000,-51.683201
97307 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97314,Saül,Guyane,Guyane,3.631900,-53.197800
97333 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97345 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97357 CEDEX,Matoury,Guyane,Guyane,4.847000,-52.321602
97389 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97316,Papaïchton,Guyane,Guyane,3.807500,-54.173500
97323 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97338 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97350,Iracoubo,Guyane,Guyane,5.480200,-53.201099
97374 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97308 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97322 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97328 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97331 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97351,Matoury,Guyane,Guyane,4.847000,-52.321602
97352,Roura,Guyane,Guyane,4.726300,-52.327400
97371 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97399 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97306 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97309 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97325 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97347 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97346 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97376 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97378 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97391 CEDEX 2,Cayenne,Guyane,Guyane,4.933300,-52.333302
97310,Kourou,Guyane,Guyane,5.155200,-52.647800
97312,Saint-Élie,Guyane,Guyane,4.821600,-53.283798
97334 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97336 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97305 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97335 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97390,Régina,Guyane,Guyane,4.316100,-52.130100
97382 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97315,Sinnamary,Guyane,Guyane,5.383300,-52.950001
97321 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97372 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97373 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97360,Mana,Guyane,Guyane,5.659200,-53.776699
97377 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97379 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97381 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97317,Apatou,Guyane,Guyane,5.155000,-54.347198
97327 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97353,Régina,Guyane,Guyane,4.316100,-52.130100
97355,Macouria,Guyane,Guyane,5.016700,-52.483299
97320,Saint-Laurent-du-Maroni,Guyane,Guyane,5.500000,-54.033298
97383 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97388 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97392 CEDEX 2,Cayenne,Guyane,Guyane,4.933300,-52.333302
97394 CEDEX,Rémire-Montjoly,Guyane,Guyane,4.916700,-52.266701
97341 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97343 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97354,Rémire-Montjoly,Guyane,Guyane,4.916700,-52.266701
97393 CEDEX,Saint-Laurent-du-Maroni,Guyane,Guyane,5.500000,-54.033298
97311,Roura,Guyane,Guyane,4.726300,-52.327400
97319,Awala-Yalimapo,Guyane,Guyane,5.733300,-53.900002
97329 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97337 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97387 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
97300,Cayenne,Guyane,Guyane,4.933300,-52.333302
97313,Saint-Georges-de-l'Oyapock,Guyane,Guyane,3.900000,-51.799999
97324 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97342 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97326 CEDEX,Cayenne,Guyane,Guyane,4.933300,-52.333302
97340,Grand-Santi,Guyane,Guyane,4.250000,-54.383301
97384 CEDEX,Kourou,Guyane,Guyane,5.155200,-52.647800
